image,masks,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0.jpg,0.png,,polyp,medium polyp,one polyp,"polyp, located in top of the image",one medium polyp,"medium polyp, located in top of the image","one polyp, located in top of the image","one medium polyp, located in top of the image","['one medium polyp which is a projecting growth of tissue located in top of the image', 'one medium polyp which is often a bumpy flesh in rectum located in top of the image', 'one medium polyp which is a small lump in the lining of colon located in top of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in top of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top of the image']"
1.jpg,1.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
10.jpg,10.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
100.jpg,100.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
101.jpg,101.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
102.jpg,102.png,,polyp,large polyp,two polyp,"polyp, located in top left, center of the image",two large polyp,"large polyp, located in top left, center of the image","two polyp, located in top left, center of the image","two large polyp, located in top left, center of the image","['two large polyp which is a projecting growth of tissue located in top left, center of the image', 'two large polyp which is often a bumpy flesh in rectum located in top left, center of the image', 'two large polyp which is a small lump in the lining of colon located in top left, center of the image', 'two large polyp which is a tissue growth that often resemble mushroom like stalks located in top left, center of the image', 'two large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, center of the image']"
103.jpg,103.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
104.jpg,104.png,,polyp,medium polyp,two polyp,"polyp, located in top left, right of the image",two medium polyp,"medium polyp, located in top left, right of the image","two polyp, located in top left, right of the image","two medium polyp, located in top left, right of the image","['two medium polyp which is a projecting growth of tissue located in top left, right of the image', 'two medium polyp which is often a bumpy flesh in rectum located in top left, right of the image', 'two medium polyp which is a small lump in the lining of colon located in top left, right of the image', 'two medium polyp which is a tissue growth that often resemble mushroom like stalks located in top left, right of the image', 'two medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, right of the image']"
105.jpg,105.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
106.jpg,106.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
107.jpg,107.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
108.jpg,108.png,,polyp,medium polyp,two polyp,"polyp, located in top left, right of the image",two medium polyp,"medium polyp, located in top left, right of the image","two polyp, located in top left, right of the image","two medium polyp, located in top left, right of the image","['two medium polyp which is a projecting growth of tissue located in top left, right of the image', 'two medium polyp which is often a bumpy flesh in rectum located in top left, right of the image', 'two medium polyp which is a small lump in the lining of colon located in top left, right of the image', 'two medium polyp which is a tissue growth that often resemble mushroom like stalks located in top left, right of the image', 'two medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, right of the image']"
109.jpg,109.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
11.jpg,11.png,,polyp,medium polyp,two polyp,"polyp, located in top left, center of the image",two medium polyp,"medium polyp, located in top left, center of the image","two polyp, located in top left, center of the image","two medium polyp, located in top left, center of the image","['two medium polyp which is a projecting growth of tissue located in top left, center of the image', 'two medium polyp which is often a bumpy flesh in rectum located in top left, center of the image', 'two medium polyp which is a small lump in the lining of colon located in top left, center of the image', 'two medium polyp which is a tissue growth that often resemble mushroom like stalks located in top left, center of the image', 'two medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, center of the image']"
110.jpg,110.png,,polyp,small polyp,two polyp,"polyp, located in top left, right of the image",two small polyp,"small polyp, located in top left, right of the image","two polyp, located in top left, right of the image","two small polyp, located in top left, right of the image","['two small polyp which is a projecting growth of tissue located in top left, right of the image', 'two small polyp which is often a bumpy flesh in rectum located in top left, right of the image', 'two small polyp which is a small lump in the lining of colon located in top left, right of the image', 'two small polyp which is a tissue growth that often resemble mushroom like stalks located in top left, right of the image', 'two small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, right of the image']"
111.jpg,111.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
112.jpg,112.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
113.jpg,113.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
114.jpg,114.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
115.jpg,115.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
116.jpg,116.png,,polyp,medium polyp,one polyp,"polyp, located in left of the image",one medium polyp,"medium polyp, located in left of the image","one polyp, located in left of the image","one medium polyp, located in left of the image","['one medium polyp which is a projecting growth of tissue located in left of the image', 'one medium polyp which is often a bumpy flesh in rectum located in left of the image', 'one medium polyp which is a small lump in the lining of colon located in left of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in left of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in left of the image']"
117.jpg,117.png,,polyp,medium polyp,one polyp,"polyp, located in top right of the image",one medium polyp,"medium polyp, located in top right of the image","one polyp, located in top right of the image","one medium polyp, located in top right of the image","['one medium polyp which is a projecting growth of tissue located in top right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in top right of the image', 'one medium polyp which is a small lump in the lining of colon located in top right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in top right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top right of the image']"
118.jpg,118.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
119.jpg,119.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
12.jpg,12.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
120.jpg,120.png,,polyp,medium polyp,one polyp,"polyp, located in bottom of the image",one medium polyp,"medium polyp, located in bottom of the image","one polyp, located in bottom of the image","one medium polyp, located in bottom of the image","['one medium polyp which is a projecting growth of tissue located in bottom of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
121.jpg,121.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
122.jpg,122.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
123.jpg,123.png,,polyp,large polyp,two polyp,"polyp, located in top left, right of the image",two large polyp,"large polyp, located in top left, right of the image","two polyp, located in top left, right of the image","two large polyp, located in top left, right of the image","['two large polyp which is a projecting growth of tissue located in top left, right of the image', 'two large polyp which is often a bumpy flesh in rectum located in top left, right of the image', 'two large polyp which is a small lump in the lining of colon located in top left, right of the image', 'two large polyp which is a tissue growth that often resemble mushroom like stalks located in top left, right of the image', 'two large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, right of the image']"
124.jpg,124.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
